index	link	name	rating	review	price	categories	neighborhood	road	city	postcode	phone	feedback
1	http://www.yelp.com//biz/california-gogi-korean-grill-los-angeles	California Gogi Korean Grill	stars_4_half	97	$	korean, asianfusion	Exposition Park	3742 S Figueroa St	Los Angeles	90007	(213) 744-1910	'I ordered spicy pork and beef and loved every bite. \xc2\xa0\xe2\x80\xa2 \xc2\xa0My favorite thing to get here is the bulgogi plate. \xc2\xa0\xe2\x80\xa2 \xc2\xa0There are two types of rice bowls: the stacked bowl and the bibimbap.'
2	http://www.yelp.com//biz/food-haus-caf%C3%A9-los-angeles	Food Haus Caf\xc3\xa9	stars_4_half	185	$$	cafes, breakfast_brunch	Historic South Central	2106 S Olive St	Los Angeles	90007	(213) 741-0007	'And their yummy truffle fries~~~ yummm~~~~ soooo good. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The bleu burger was great, the beef is tasty and juicy. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The fries that it came with the torta where to die for as well.'
3	http://www.yelp.com//biz/little-beast-los-angeles-2	Little Beast	stars_4_half	201	$$	newamerican	Eagle Rock	1496 Colorado Blvd	Los Angeles	90041	(323) 341-5899	'For dessert, we shared he chocolate pudding - also delicious. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The peach and burrata appetizer is a solid way to start the meal. \xc2\xa0\xe2\x80\xa2 \xc2\xa0We also tried the Duck Liver Mousse which was out of\xe2\x80\xa6'
4	http://www.yelp.com//biz/the-hungry-pig-los-angeles	The Hungry Pig	stars_4_half	142	$$	bbq	Westlake	2920 W Temple St	Los Angeles	90026	(213) 387-7787	"The pulled pork, and the baby back ribs are fantastic. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The spicy slaw was my favorite, and I can't wait to try everything... \xc2\xa0\xe2\x80\xa2 \xc2\xa0My favorite are the curried potato and mac and cheese."
5	http://www.yelp.com//biz/joes-falafel-los-angeles	Joe\xe2\x80\x99s Falafel	stars_4_half	641	$	mediterranean	Studio City	3535 Cahuenga Blvd W	Los Angeles	90068	(323) 512-4447	'The food was fresh and amazingly good (best lafa bread ever. \xc2\xa0\xe2\x80\xa2 \xc2\xa0My chicken shawarma was well flavored without being too slaty. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Very juicy and tender meat, excellent rice and hummus.'
6	http://www.yelp.com//biz/komodo-cafe-los-angeles-3	Komodo Cafe	stars_4_half	545	$$	asianfusion, newamerican	Pico-Robertson	8809 W Pico Blvd	Los Angeles	90035	(310) 246-5153	"Also, don't forget to try the Lychee Lemonade - very refreshing. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Truffle fries are delicious as well, covered in Parmesan. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Can't wait to go back and try more of their tacos and\xe2\x80\xa6"
7	http://www.yelp.com//biz/the-black-sheep-los-angeles	The Black Sheep	stars_4_half	389	$$	asianfusion, pubs, gastropubs	Downtown	126 E 6th St	Los Angeles	90013	(213) 689-5022	"Best Burger in LA and Best Carne Asada Tots Anywhere. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The sake selection is outstanding as are the 'banh mi sliders. \xc2\xa0\xe2\x80\xa2 \xc2\xa0If you want bomb burgers, bomb beer, bomb service."
8	http://www.yelp.com//biz/hong-galbi-los-angeles	Hong Galbi	stars_5	87	$$	korean, bbq	Harvard Heights	3132 W Olympic Blvd	Los Angeles	90006	(323) 734-2577	'Spicy Pork ribs and spicy pork were amazing. \xc2\xa0\xe2\x80\xa2 \xc2\xa0All the other side dishes are tasty too. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The fish cakes and the kimchi were fresh and very tasty.'
9	http://www.yelp.com//biz/vagabond-grillyard-los-angeles-2	Vagabond Grillyard	stars_5	26	$	bbq	Glassell Park		Los Angeles	90065		"Their signature burger is one of the best burgers i've ever had and... \xc2\xa0\xe2\x80\xa2 \xc2\xa0...melt in your mouth, and the garlic cilantro aioli blows my mind. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Their pulled pork sandwich is delicious as\xe2\x80\xa6"
10	http://www.yelp.com//biz/kang-hodong-baekjeong-los-angeles	Kang Hodong Baekjeong	stars_4_half	1086	$$	korean, bbq	Koreatown, Wilshire Center	3465 W 6th St	Los Angeles	90020	(213) 384-9678	'We got the beef combo for two and it was worth every penny. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The steamed egg and corn cheese does take awhile to cook though. \xc2\xa0\xe2\x80\xa2 \xc2\xa0especially the pork belly is by far my most favorite one.'
11	http://www.yelp.com//biz/totoraku-los-angeles	Totoraku	stars_5	183	$$$$	japanese	Cheviot Hills	10610 W Pico Blvd	Los Angeles	90064	(310) 838-9881	"Really awesome experience and chef Kaz-san is a really cool guy. \xc2\xa0\xe2\x80\xa2 \xc2\xa0It is without a doubt the best beef tongue I've had in my life. \xc2\xa0\xe2\x80\xa2 \xc2\xa0There was inside ribeye, outside ribeye, skirt steak,\xe2\x80\xa6"
12	http://www.yelp.com//biz/guisados-los-angeles	Guisados	stars_4_half	1186	$	mexican	Boyle Heights	2100 E Cesar Chavez Ave	Los Angeles	90033	(323) 264-7201	"I can't wait to go back and try out more tacos. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Highly recommend the Sampler platter, which comes with 6 tacos. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Both bistek en salsa roja and steak picado were pretty good too."
13	http://www.yelp.com//biz/pine-and-crane-los-angeles	Pine &amp; Crane	stars_4_half	171	$$	taiwanese, chinese	Silver Lake	1521 Griffith Park Blvd	Los Angeles	90026	(323) 668-1128	"Minced Pork over rice ($6): \xc2\xa0Hands down my favorite thing I ate that... \xc2\xa0\xe2\x80\xa2 \xc2\xa0...that this is hands down the best beef noodle soup I've ever had in LA. \xc2\xa0\xe2\x80\xa2 \xc2\xa0But not super oily like traditional\xe2\x80\xa6"
14	http://www.yelp.com//biz/langers-los-angeles-2	Langer\xe2\x80\x99s	stars_4_half	2169	$$	delis, sandwiches, bakeries	Westlake	704 S Alvarado St	Los Angeles	90057	(213) 483-8050	'Thick slices of juicy pastrami on rye hits the spot every time. \xc2\xa0\xe2\x80\xa2 \xc2\xa019 pastrami with cole slaw Russian dressing with rye bread. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The warm double-baked rye bread gives an extra crispy\xe2\x80\xa6'
15	http://www.yelp.com//biz/wolvesmouth-at-the-wolvesden-los-angeles	Wolvesmouth at the Wolvesden	stars_5	33	$$$$	newamerican	Arts District, Downtown		Los Angeles	90012		"I wish there were more people in the world like Chef Craig. \xc2\xa0\xe2\x80\xa2 \xc2\xa0This is absolutely the best dining experience I've ever had in LA. \xc2\xa0\xe2\x80\xa2 \xc2\xa0get on their mailing list &amp; they will send you monthly\xe2\x80\xa6"
16	http://www.yelp.com//biz/my-two-cents-los-angeles	My Two Cents	stars_4_half	220	$$	soulfood, newamerican	Mid-Wilshire	5583 W Pico Blvd	Los Angeles	90019	(323) 938-1012	'I love the Shrimp and Grits, crack cake, and bbq fried chicken. \xc2\xa0\xe2\x80\xa2 \xc2\xa0The quinoa mac n cheese is creamy and delicious. \xc2\xa0\xe2\x80\xa2 \xc2\xa0So far, my favorite is the Fried Green Tomato Po Boy with bacon.'
17	http://www.yelp.com//biz/black-hogg-los-angeles	Black Hogg	stars_4_half	502	$$	newamerican	Silver Lake	2852 W Sunset Blvd	Los Angeles	90026	(323) 953-2820	'2)Pork Belly Tacos topped with Fuji apple slaw &amp; jalapeno relish. \xc2\xa0\xe2\x80\xa2 \xc2\xa0POPCORN BACON: Bite-sized House-Made Bacon Morsels, Maple Crema. \xc2\xa0\xe2\x80\xa2 \xc2\xa0Super greasy bone marrow makes my inner fat girl a\xe2\x80\xa6'
